index,group_1.0
1208,62.51196
1209,62.45674
1210,62.40152
1211,62.445694
1212,62.556145
1213,62.66659
1214,62.489883
1215,62.31318
1216,62.6445
1217,62.51197
1218,62.379436
1219,62.51196
1220,62.45306
1221,62.39416
1222,62.335262
1223,62.423607
1224,62.453056
1225,62.48251
1226,62.51196
1227,62.556137
1228,62.60032
1229,62.578228
1230,62.556137
1231,62.47883
1232,62.40152
1233,62.5451
1234,62.688683
1235,62.51196
1236,62.335262
1237,62.40152
1238,62.335262
1239,62.445694
1240,62.6445
1241,62.26901
1242,62.578228
1243,62.53405
1244,62.445694
1245,62.66659
1246,62.556137
1247,62.53405
1248,62.31318
1249,62.335262
1250,62.578228
1251,62.66659
1252,62.60032
1253,62.31318
1254,62.489872
1255,62.423607
1256,62.556137
1257,62.567184
1258,62.578228
1259,62.556137
1260,62.500916
1261,62.445694
1262,62.66659
1263,62.57823
1264,62.489872
1265,62.53405
1266,62.4457
1267,62.35735
1268,62.423607
1269,62.412563
1270,62.40152
1271,62.52301
1272,62.6445
1273,62.578228
1274,62.526688
1275,62.475147
1276,62.423607
1277,62.53405
1278,62.519325
1279,62.504597
1280,62.489872
1281,62.688683
1282,62.600323
1283,62.511967
1284,62.423607
1285,62.500916
1286,62.578228
1287,62.401535
1288,62.224842
1289,62.456764
1290,62.688683
1291,62.34636
1292,62.004036
1293,62.169647
1294,62.335262
1295,62.62241
1296,62.578228
1297,62.46778
1298,62.51196
1299,62.578228
1300,62.20276
1301,62.35735
1302,62.335262
1303,62.335262
1304,62.51196
1305,62.489872
1306,62.6445
1307,62.489872
1308,62.158596
1309,62.489872
1310,62.26901
1311,62.53405
1312,62.6445
1313,62.53405
1314,62.423607
1315,62.578228
1316,62.224842
1317,62.489872
1318,62.62241
1319,62.51196
1320,62.35735
1321,62.556137
1322,62.53405
1323,62.291096
1324,62.489872
1325,62.136513
1326,62.578228
1327,62.35735
1328,62.777058
1329,62.556137
1330,62.4457
1331,62.335262
1332,62.578228
1333,62.62241
1334,62.66659
1335,62.60032
1336,62.556137
1337,62.51196
1338,62.51196
1339,62.556137
1340,62.60032
1341,62.556137
1342,62.51196
1343,62.35735
1344,62.434654
1345,62.51196
1346,62.84334
1347,62.666622
1348,62.4899
1349,62.31318
1350,62.53405
1351,62.53405
1352,62.53405
1353,62.53405
1354,62.51196
1355,62.475147
1356,62.43833
1357,62.40152
1358,62.489876
1359,62.578228
1360,62.545094
1361,62.51196
1362,62.523003
1363,62.53405
1364,62.489872
1365,62.445694
1366,62.754963
1367,62.51196
1368,62.51196
1369,62.578228
1370,62.51196
1371,62.489872
1372,62.489872
1373,62.40152
1374,62.445694
1375,62.51196
1376,62.799152
1377,62.445694
1378,62.53405
1379,62.60032
1380,62.578228
1381,62.31318
1382,62.31318
1383,62.777058
1384,62.6445
1385,62.556137
1386,62.66659
1387,62.53405
1388,62.511963
1389,62.489872
1390,62.335262
1391,62.39048
1392,62.445694
1393,62.688683
1394,62.6445
1395,62.60032
1396,62.51196
1397,62.60032
1398,62.688683
1399,62.489872
1400,62.401527
1401,62.31318
1402,62.51196
1403,62.42361
1404,62.335262
1405,62.39048
1406,62.445694
1407,62.40152
1408,62.51196
1409,62.51196
1410,62.18068
1411,62.423607
1412,62.335262
1413,62.865437
1414,62.489872
1415,62.777058
1416,62.688683
1417,62.578228
1418,62.556137
1419,62.556137
1420,62.335262
1421,62.51196
1422,62.46778
1423,62.445694
1424,62.40152
1425,62.445694
1426,62.51196
1427,62.35735
1428,62.821247
1429,62.51196
1430,62.51196
1431,62.35735
1432,62.445694
1433,62.710777
1434,62.46778
1435,62.489872
1436,62.53405
1437,62.51196
1438,62.821247
1439,62.666603
1440,62.51196
1441,62.578228
1442,62.578228
1443,62.578228
1444,62.335262
1445,62.500927
1446,62.66659
1447,62.53405
1448,62.523003
1449,62.51196
1450,62.556137
1451,62.60032
1452,62.489872
1453,62.57823
1454,62.66659
1455,62.51196
1456,62.541412
1457,62.570866
1458,62.60032
1459,62.445694
1460,62.46042
1461,62.475147
1462,62.489872
1463,62.18068
1464,62.29847
1465,62.41626
1466,62.53405
1467,62.246925
1468,62.27637
1469,62.305817
1470,62.335262
1471,62.35735
1472,62.379436
1473,62.434654
1474,62.489872
1475,62.46778
1476,62.445694
1477,62.47883
1478,62.51196
1479,62.246925
1480,62.31318
1481,62.60032
1482,62.46778
1483,62.445694
1484,62.489872
1485,62.489872
1486,62.40152
1487,62.60032
1488,62.6445
1489,62.578228
1490,62.423607
1491,62.578228
1492,62.423607
1493,62.291096
1494,62.246925
1495,62.423607
1496,62.578228
1497,62.445694
1498,62.51196
1499,62.423607
1500,62.46778
1501,62.578228
1502,62.291096
1503,62.51196
1504,62.66659
1505,62.423607
1506,62.51196
1507,62.51196
1508,62.556137
1509,62.489872
1510,62.35735
1511,62.423607
1512,62.46778
1513,62.489872
1514,62.66659
1515,62.545097
1516,62.423607
1517,62.578228
1518,62.578228
1519,62.578228
1520,62.51196
1521,62.589275
1522,62.66659
1523,62.615047
1524,62.563503
1525,62.51196
1526,62.688683
1527,62.65923
1528,62.629772
1529,62.60032
1530,62.511963
1531,62.423607
1532,62.335266
1533,62.246925
1534,62.412575
1535,62.578228
1536,62.379456
1537,62.18068
1538,62.34632
1539,62.51196
1540,62.40152
1541,62.688683
1542,62.445694
1543,62.335262
1544,62.224842
1545,62.556137
1546,62.777058
1547,62.51196
1548,62.754963
1549,62.489872
1550,62.60032
1551,62.62241
1552,62.46778
1553,62.578228
1554,62.688683
1555,62.335262
1556,62.556137
1557,62.62241
1558,62.688683
1559,62.60032
1560,62.578228
1561,62.46778
1562,62.423607
1563,62.62241
1564,62.688683
1565,62.60032
1566,62.688683
1567,62.423607
1568,62.688683
1569,62.379436
1570,62.51196
1571,62.423607
1572,62.51196
1573,62.53405
1574,62.556137
1575,62.335262
1576,62.31318
1577,62.39048
1578,62.46778
1579,62.423607
1580,62.62243
1581,62.821247
1582,62.35735
1583,62.523018
1584,62.688683
1585,62.40152
1586,62.45674
1587,62.51196
1588,62.42361
1589,62.335262
1590,62.556137
1591,62.500916
1592,62.445694
1593,62.158596
1594,62.327927
1595,62.49726
1596,62.66659
1597,62.335262
1598,62.372074
1599,62.408882
1600,62.445694
1601,62.423607
1602,62.460423
1603,62.497234
1604,62.53405
1605,62.53405
1606,62.53405
1607,62.611366
1608,62.688683
1609,62.633453
1610,62.578228
1611,62.42362
1612,62.26901
1613,62.31318
1614,62.31318
1615,62.31318
1616,62.53405
