,0
299805,296.4153747558594
299806,296.4969177246094
299807,296.3338623046875
299808,296.4969177246094
299809,296.4969177246094
299810,296.36102294921875
299811,296.2795104980469
299812,296.3338623046875
299813,296.4697265625
299814,296.1436462402344
299815,296.5240783691406
299816,296.3338623046875
299817,296.4969177246094
299818,296.3882141113281
299819,296.1979675292969
299820,296.36102294921875
299821,296.3338623046875
299822,296.36102294921875
299823,296.3066711425781
299824,296.2795104980469
299825,296.1708068847656
299826,296.4153747558594
299827,296.2795104980469
299828,296.3338623046875
299829,296.36102294921875
299830,296.3066711425781
299831,296.3338623046875
299832,296.6328125
299833,296.4153747558594
299834,296.36102294921875
299835,296.36102294921875
299836,296.5240783691406
299837,296.3882141113281
299838,296.5240783691406
299839,296.5240783691406
299840,296.3066711425781
299841,296.4153747558594
299842,296.5784606933594
299843,296.4153747558594
299844,296.3882141113281
299845,296.4697265625
299846,296.08929443359375
299847,296.36102294921875
299848,296.36102294921875
299849,296.22515869140625
299850,296.3338623046875
299851,296.3338623046875
299852,296.2795104980469
299853,296.4153747558594
299854,296.2795104980469
299855,296.55126953125
299856,296.4697265625
299857,296.36102294921875
299858,296.5784606933594
299859,296.3066711425781
299860,296.55126953125
299861,296.3066711425781
299862,296.3882141113281
299863,296.4153747558594
299864,296.36102294921875
299865,296.3882141113281
299866,296.3066711425781
299867,296.2795104980469
299868,296.3882141113281
299869,296.36102294921875
299870,296.44256591796875
299871,296.3066711425781
299872,296.3882141113281
299873,296.4697265625
299874,296.36102294921875
299875,296.08929443359375
299876,296.5240783691406
299877,296.5784606933594
299878,296.4969177246094
299879,296.6056213378906
299880,296.3882141113281
299881,296.3338623046875
299882,296.3882141113281
299883,296.3338623046875
299884,296.3066711425781
299885,296.2523193359375
299886,296.3338623046875
299887,296.4153747558594
299888,296.2795104980469
299889,296.3066711425781
299890,296.2795104980469
299891,296.3882141113281
299892,296.4153747558594
299893,296.36102294921875
299894,296.3066711425781
299895,296.4697265625
299896,296.3882141113281
299897,296.1708068847656
299898,296.36102294921875
299899,296.4153747558594
299900,296.8231201171875
299901,296.3066711425781
299902,296.4697265625
299903,296.1436462402344
299904,296.22515869140625
299905,296.3066711425781
299906,296.4153747558594
299907,296.4697265625
299908,296.3066711425781
299909,296.22515869140625
299910,296.4697265625
299911,296.55126953125
299912,296.5240783691406
299913,296.5240783691406
299914,296.4697265625
299915,296.3882141113281
299916,296.36102294921875
299917,296.44256591796875
299918,296.2795104980469
299919,296.3066711425781
299920,296.1708068847656
299921,296.5240783691406
299922,296.3882141113281
299923,296.55126953125
299924,296.3066711425781
299925,296.44256591796875
299926,296.3066711425781
299927,296.4697265625
299928,296.3066711425781
299929,296.2795104980469
299930,296.3338623046875
299931,296.3882141113281
299932,296.22515869140625
299933,296.3066711425781
299934,296.08929443359375
299935,296.3882141113281
299936,296.5240783691406
299937,296.2523193359375
299938,296.3338623046875
299939,296.5240783691406
299940,296.2523193359375
299941,296.2523193359375
299942,296.4697265625
299943,296.4697265625
299944,296.3338623046875
299945,296.2795104980469
299946,296.3066711425781
299947,296.4153747558594
299948,296.4969177246094
299949,296.2523193359375
299950,296.4697265625
299951,296.44256591796875
299952,296.3882141113281
299953,296.4969177246094
299954,296.4153747558594
299955,296.4969177246094
299956,296.3066711425781
299957,296.2795104980469
299958,296.44256591796875
299959,296.3882141113281
299960,296.3882141113281
299961,296.3338623046875
299962,296.4153747558594
299963,296.4969177246094
299964,296.2795104980469
299965,296.44256591796875
299966,296.44256591796875
299967,296.4969177246094
299968,296.4153747558594
299969,296.3338623046875
299970,296.3338623046875
299971,296.3882141113281
299972,296.36102294921875
299973,296.4969177246094
299974,296.4697265625
299975,296.3066711425781
299976,296.4969177246094
299977,296.4697265625
299978,296.3338623046875
299979,296.44256591796875
299980,296.5784606933594
299981,296.5784606933594
299982,296.5240783691406
299983,296.4153747558594
299984,296.4153747558594
299985,296.3882141113281
299986,296.44256591796875
299987,296.2795104980469
299988,296.68719482421875
299989,296.2795104980469
299990,296.44256591796875
299991,296.4969177246094
299992,296.4969177246094
299993,296.3882141113281
299994,296.5240783691406
299995,296.4697265625
299996,296.55126953125
299997,296.3338623046875
299998,296.44256591796875
299999,296.55126953125
300000,296.3882141113281
300001,296.3338623046875
300002,296.1979675292969
300003,296.3338623046875
300004,296.44256591796875
300005,296.2795104980469
300006,296.6328125
300007,296.44256591796875
300008,296.6056213378906
300009,296.44256591796875
300010,296.4153747558594
300011,296.3882141113281
300012,296.4969177246094
300013,296.4153747558594
300014,296.3066711425781
300015,296.3882141113281
300016,296.6056213378906
300017,296.4969177246094
300018,296.4153747558594
300019,296.36102294921875
300020,296.3882141113281
300021,296.3338623046875
300022,296.3066711425781
300023,296.3066711425781
300024,296.0621337890625
300025,296.3338623046875
300026,296.3882141113281
300027,296.4697265625
300028,296.5784606933594
300029,296.44256591796875
300030,296.4153747558594
300031,296.4153747558594
300032,296.3066711425781
300033,296.4969177246094
300034,296.3066711425781
300035,296.2523193359375
